,source_username,source.gender,source.race,recommended_username,rec.gender,rec.race
0,@_arishfakhan_,Female,asian,@aashikabhatia,Female,asian
2,@_arishfakhan_,Female,asian,@afshanrooh,Female,"hispanic, latino, or spanish origin"
4,@_arishfakhan_,Female,asian,@arishfakhan880,Female,asian
10,@_arishfakhan_,Female,asian,@gima_ashi,Female,white
16,@_arishfakhan_,Female,asian,@nishaguragain,Female,asian
17,@_arishfakhan_,Female,asian,@radhikabangia,Female,asian
19,@_arishfakhan_,Female,asian,@rugeesvini__,Female,asian
21,@_arishfakhan_,Female,asian,@surabhisamriddhi,Female,asian
23,@_arishfakhan_,Female,asian,@teamnawab,Male,asian
24,@_arishfakhan_,Female,asian,@thedhvanibhanushali,Female,white
42,@aashikabhatia,Female,asian,@sainanehwal8,Female,"hispanic, latino, or spanish origin"
47,@aashikabhatia,Female,asian,@thedeverakonda,Male,asian
53,@abbyrartistry,Female,white,@brandonwilliams,Male,white
54,@abbyrartistry,Female,white,@camilacabello,Female,"hispanic, latino, or spanish origin"
56,@abbyrartistry,Female,white,@conormaynard,Male,white
57,@abbyrartistry,Female,white,@danielsturridge,Male,black or african american
58,@abbyrartistry,Female,white,@edsheeran,Male,white
60,@abbyrartistry,Female,white,@jackwhitehall,Male,white
62,@abbyrartistry,Female,white,@jeremylynchofficial,Male,black or african american
68,@abbyrartistry,Female,white,@ninanesbitt,Female,white
69,@abbyrartistry,Female,white,@oviesoko,Male,black or african american
70,@abbyrartistry,Female,white,@perrieedwards,Female,white
75,@abbyrartistry,Female,white,@samsmith,Male,white
101,@addisonre,Female,white,@brunomars,Male,black or african american
102,@addisonre,Female,white,@daddyyankee,Male,"hispanic, latino, or spanish origin"
104,@addisonre,Female,white,@diplo,Male,white
105,@addisonre,Female,white,@dojacat,Female,black or african american
107,@addisonre,Female,white,@iambeckyg,Female,"hispanic, latino, or spanish origin"
108,@addisonre,Female,white,@iamtrevordaniel,Unknown,white
110,@addisonre,Female,white,@imaginedragons,Male,white
111,@addisonre,Female,white,@joshuatbassett,Male,white
112,@addisonre,Female,white,@katyperry,Female,white
115,@addisonre,Female,white,@lizzo,Female,black or african american
116,@addisonre,Female,white,@marthastewart,Female,white
117,@addisonre,Female,white,@mileycyrus,Female,white
118,@addisonre,Female,white,@onerepublic,Male,white
119,@addisonre,Female,white,@ozuna,Male,black or african american
120,@addisonre,Female,white,@panicatthedisco,Male,white
121,@addisonre,Female,white,@roddyricch,Male,black or african american
122,@addisonre,Female,white,@saintjhn,Male,black or african american
123,@addisonre,Female,white,@samsmith,Male,white
124,@addisonre,Female,white,@selenagomez,Female,"hispanic, latino, or spanish origin"
126,@addisonre,Female,white,@theweeknd,Male,black or african american
127,@addisonre,Female,white,@tyrabanks,Female,black or african american
129,@addisonre,Female,white,@wizkhalifa,Unknown,black or african american
155,@afshanrooh,Female,"hispanic, latino, or spanish origin",@_arishfakhan_,Female,asian
169,@afshanrooh,Female,"hispanic, latino, or spanish origin",@nishaguragain,Female,asian
172,@afshanrooh,Female,"hispanic, latino, or spanish origin",@rugeesvini__,Female,asian
