,source_username,source.gender,source.race,recommended_username,rec.gender,rec.race
0,@_arishfakhan_,Female,asian,@aashikabhatia,Female,asian
1,@_arishfakhan_,Female,asian,@aaskhan,Male,Unknown
2,@_arishfakhan_,Female,asian,@afshanrooh,Female,"hispanic, latino, or spanish origin"
3,@_arishfakhan_,Female,asian,@anmolbhatia_,Female,Unknown
4,@_arishfakhan_,Female,asian,@arishfakhan880,Female,asian
5,@_arishfakhan_,Female,asian,@ashima.chaudhary24,Female,Unknown
6,@_arishfakhan_,Female,asian,@ayushyadav7100,Male,Unknown
7,@_arishfakhan_,Female,asian,@beingshadabkhan,Male,Unknown
8,@_arishfakhan_,Female,asian,@ch.zulqarnain25,Male,Unknown
9,@_arishfakhan_,Female,asian,@dolldaundkar,Female,Unknown
10,@_arishfakhan_,Female,asian,@gima_ashi,Female,white
11,@_arishfakhan_,Female,asian,@iamanshhh,Male,Unknown
12,@_arishfakhan_,Female,asian,@jannat_zubair29,Female,Unknown
13,@_arishfakhan_,Female,asian,@jissa77,Female,Unknown
14,@_arishfakhan_,Female,asian,@luckydancer5454,Male,Unknown
15,@_arishfakhan_,Female,asian,@mudeemkhan,Female,Unknown
16,@_arishfakhan_,Female,asian,@nishaguragain,Female,asian
17,@_arishfakhan_,Female,asian,@radhikabangia,Female,asian
18,@_arishfakhan_,Female,asian,@roshgupta_,Male,Unknown
19,@_arishfakhan_,Female,asian,@rugeesvini__,Female,asian
20,@_arishfakhan_,Female,asian,@shanayakhan3,Female,Unknown
21,@_arishfakhan_,Female,asian,@surabhisamriddhi,Female,asian
22,@_arishfakhan_,Female,asian,@surbhiirathore3,Female,Unknown
23,@_arishfakhan_,Female,asian,@teamnawab,Male,asian
24,@_arishfakhan_,Female,asian,@thedhvanibhanushali,Female,white
25,@_arishfakhan_,Female,asian,@tusharsilawat,Female,Unknown
26,@aashikabhatia,Female,asian,@aslimonalisa,Female,Unknown
27,@aashikabhatia,Female,asian,@chirrusarja,Male,Unknown
28,@aashikabhatia,Female,asian,@dishapatani,Female,Unknown
29,@aashikabhatia,Female,asian,@govinda_herono1,Male,Unknown
30,@aashikabhatia,Female,asian,@gururandhawa,Male,Unknown
31,@aashikabhatia,Female,asian,@iamhimanshi_khurana,Female,Unknown
32,@aashikabhatia,Female,asian,@ifrc,Unknown,Unknown
33,@aashikabhatia,Female,asian,@jassmanak,Male,Unknown
34,@aashikabhatia,Female,asian,@kabirduhansingh08,Male,Unknown
35,@aashikabhatia,Female,asian,@kapilsharma,Male,Unknown
36,@aashikabhatia,Female,asian,@kritisanon2707,Female,Unknown
